Date,Hour,Quarter,ERCOT Hub Average Price
06/02/2022,6,2,78.47
06/02/2022,6,3,74.84
06/02/2022,6,4,61.75
06/02/2022,7,1,61.59
06/02/2022,7,2,59.91
06/02/2022,7,3,59.78
06/02/2022,7,4,57.81
06/02/2022,8,1,56.92
06/02/2022,8,2,58.48
06/02/2022,8,3,58.54
06/02/2022,8,4,57.42
06/02/2022,9,1,64.46
06/02/2022,9,2,60.97
06/02/2022,9,3,62.50
06/02/2022,9,4,63.14
06/02/2022,10,1,73.93
06/02/2022,10,2,79.15
06/02/2022,10,3,75.52
06/02/2022,10,4,74.53
06/02/2022,11,1,76.81
06/02/2022,11,2,78.58
06/02/2022,11,3,76.90
06/02/2022,11,4,79.85
06/02/2022,12,1,78.50
06/02/2022,12,2,79.27
06/02/2022,12,3,79.04
06/02/2022,12,4,86.14
06/02/2022,13,1,80.79
06/02/2022,13,2,80.93
06/02/2022,13,3,82.77
06/02/2022,13,4,85.62
06/02/2022,14,1,86.12
06/02/2022,14,2,86.86
06/02/2022,14,3,89.21
06/02/2022,14,4,89.17
06/02/2022,15,1,86.82
06/02/2022,15,2,86.95
06/02/2022,15,3,85.13
06/02/2022,15,4,88.73
06/02/2022,16,1,90.91
06/02/2022,16,2,99.55
06/02/2022,16,3,97.46
06/02/2022,16,4,94.70
06/02/2022,17,1,90.12
06/02/2022,17,2,90.85
06/02/2022,17,3,108.65
06/02/2022,17,4,99
06/02/2022,18,1,86.15
06/02/2022,18,2,87.04
06/02/2022,18,3,86.31
06/02/2022,18,4,86.91
06/02/2022,19,1,84.68
06/02/2022,19,2,91.72
06/02/2022,19,3,94.65
06/02/2022,19,4,88.54
06/02/2022,20,1,85.30
06/02/2022,20,2,83.82
06/02/2022,20,3,83.99
06/02/2022,20,4,83.38
06/02/2022,21,1,83.83
06/02/2022,21,2,83.59
06/02/2022,21,3,83.72
06/02/2022,21,4,82.93
06/02/2022,22,1,82.06
06/02/2022,22,2,80.08
06/02/2022,22,3,76.97
06/02/2022,22,4,75.61
06/02/2022,23,1,76.06
06/02/2022,23,2,75.45
06/02/2022,23,3,73.16
06/02/2022,23,4,68.28
06/02/2022,24,1,64.98
06/02/2022,24,2,65.71
06/02/2022,24,3,67.47
06/02/2022,24,4,65.03
06/03/2022,1,1,60.82
06/03/2022,1,2,56.83
06/03/2022,1,3,54.14
06/03/2022,1,4,52.11
06/03/2022,2,1,53.18
06/03/2022,2,2,54.35
06/03/2022,2,3,53.62
06/03/2022,2,4,51.70
06/03/2022,3,1,52.81
06/03/2022,3,2,51.50
06/03/2022,3,3,49.98
06/03/2022,3,4,47.41
06/03/2022,4,1,48.61
06/03/2022,4,2,48.21
06/03/2022,4,3,47.43
06/03/2022,4,4,45.94
06/03/2022,5,1,45.27
06/03/2022,5,2,43.97
06/03/2022,5,3,43.71
06/03/2022,5,4,43.61
06/03/2022,6,1,42.66
06/03/2022,6,2,43.39
06/03/2022,6,3,43.49
06/03/2022,6,4,43.56
06/03/2022,7,1,46.63
06/03/2022,7,2,51.91
06/03/2022,7,3,50.47
06/03/2022,7,4,56.31
06/03/2022,8,1,57.20
06/03/2022,8,2,56.52
06/03/2022,8,3,57.21
06/03/2022,8,4,55.65
06/03/2022,9,1,54.61
06/03/2022,9,2,56.55
06/03/2022,9,3,60.94
06/03/2022,9,4,62.42
06/03/2022,10,1,57.15
06/03/2022,10,2,56.77
06/03/2022,10,3,59.40
06/03/2022,10,4,60.81
06/03/2022,11,1,65.49
06/03/2022,11,2,66.26
06/03/2022,11,3,71.81
06/03/2022,11,4,72.56
06/03/2022,12,1,67.19
06/03/2022,12,2,69.84
06/03/2022,12,3,75.04
06/03/2022,12,4,75.78
06/03/2022,13,1,71.56
06/03/2022,13,2,75.51
06/03/2022,13,3,72.19
06/03/2022,13,4,73.80
06/03/2022,14,1,79.46
06/03/2022,14,2,80.26
06/03/2022,14,3,80.26
06/03/2022,14,4,79.37
06/03/2022,15,1,81.80
06/03/2022,15,2,80.93
06/03/2022,15,3,80.18
06/03/2022,15,4,81.25
06/03/2022,16,1,80.89
06/03/2022,16,2,80.98
06/03/2022,16,3,83.23
06/03/2022,16,4,82.87
06/03/2022,17,1,82.42
06/03/2022,17,2,81.46
06/03/2022,17,3,82.34
06/03/2022,17,4,80.33
06/03/2022,18,1,81.15
06/03/2022,18,2,79.41
06/03/2022,18,3,76.88
06/03/2022,18,4,76.36
06/03/2022,19,1,73.88
06/03/2022,19,2,75.66
06/03/2022,19,3,75.13
06/03/2022,19,4,74.70
06/03/2022,20,1,75.17
06/03/2022,20,2,79.83
06/03/2022,20,3,81.29
06/03/2022,20,4,81.42
06/03/2022,21,1,80.04
06/03/2022,21,2,78.28
06/03/2022,21,3,78.07
06/03/2022,21,4,78.29
06/03/2022,22,1,76.32
06/03/2022,22,2,75.72
06/03/2022,22,3,75.72
06/03/2022,22,4,74.57
06/03/2022,23,1,74.49
06/03/2022,23,2,86.52
06/03/2022,23,3,81.58
06/03/2022,23,4,78.94
06/03/2022,24,1,76.34
06/03/2022,24,2,76.41
06/03/2022,24,3,72.94
06/03/2022,24,4,63.18
06/04/2022,1,1,60.66
06/04/2022,1,2,57.74
06/04/2022,1,3,53.04
06/04/2022,1,4,52.35
06/04/2022,2,1,53.52
06/04/2022,2,2,53.97
06/04/2022,2,3,51.04
06/04/2022,2,4,50.86
06/04/2022,3,1,49.69
06/04/2022,3,2,52.11
06/04/2022,3,3,51.23
06/04/2022,3,4,51.22
06/04/2022,4,1,51.29
06/04/2022,4,2,50.90
06/04/2022,4,3,51.04
06/04/2022,4,4,51.25
06/04/2022,5,1,53.18
06/04/2022,5,2,51.54
06/04/2022,5,3,50.18
06/04/2022,5,4,51.89
06/04/2022,6,1,51.96
06/04/2022,6,2,49.43
06/04/2022,6,3,49.92
06/04/2022,6,4,50.80
06/04/2022,7,1,54.97
06/04/2022,7,2,61.87
06/04/2022,7,3,58.96
06/04/2022,7,4,60.47
06/04/2022,8,1,59.80
06/04/2022,8,2,55.66
06/04/2022,8,3,54.03
06/04/2022,8,4,53.64
06/04/2022,9,1,61.01
06/04/2022,9,2,74.55
06/04/2022,9,3,70.74
06/04/2022,9,4,62.10
06/04/2022,10,1,58.61
06/04/2022,10,2,58.43
06/04/2022,10,3,76.86
06/04/2022,10,4,73.83
06/04/2022,11,1,66.98
06/04/2022,11,2,61.97
06/04/2022,11,3,72.52
06/04/2022,11,4,64.40
06/04/2022,12,1,69.90
06/04/2022,12,2,70.59
06/04/2022,12,3,74.55
06/04/2022,12,4,71.33
06/04/2022,13,1,64.10
06/04/2022,13,2,65.37
06/04/2022,13,3,64.09
06/04/2022,13,4,61.51
06/04/2022,14,1,68.97
06/04/2022,14,2,74.89
06/04/2022,14,3,72.75
06/04/2022,14,4,74.83
06/04/2022,15,1,76.16
06/04/2022,15,2,81.48
06/04/2022,15,3,80.22
06/04/2022,15,4,81.89
06/04/2022,16,1,81.39
06/04/2022,16,2,84.56
06/04/2022,16,3,83.75
06/04/2022,16,4,88.99
06/04/2022,17,1,90.15
06/04/2022,17,2,91.07
06/04/2022,17,3,86.06
06/04/2022,17,4,85.07
06/04/2022,18,1,83.39
06/04/2022,18,2,82.61
06/04/2022,18,3,82.51
06/04/2022,18,4,82.58
06/04/2022,19,1,83.87
06/04/2022,19,2,82.11
06/04/2022,19,3,81.12
06/04/2022,19,4,78.85
06/04/2022,20,1,76.57
06/04/2022,20,2,77.65
06/04/2022,20,3,77.67
06/04/2022,20,4,76.68
06/04/2022,21,1,77.08
06/04/2022,21,2,77.93
06/04/2022,21,3,75.62
06/04/2022,21,4,69.01
06/04/2022,22,1,64.22
06/04/2022,22,2,59.96
06/04/2022,22,3,54.51
06/04/2022,22,4,49.38
06/04/2022,23,1,49.83
06/04/2022,23,2,51.38
06/04/2022,23,3,48.76
06/04/2022,23,4,44.97
06/04/2022,24,1,48.92
06/04/2022,24,2,50.70
06/04/2022,24,3,48.14
06/04/2022,24,4,40.52
06/05/2022,1,1,21.88
06/05/2022,1,2,18.13
06/05/2022,1,3,19.11
06/05/2022,1,4,11.20
06/05/2022,2,1,12.40
06/05/2022,2,2,7.30
06/05/2022,2,3,10.29
06/05/2022,2,4,7.45
06/05/2022,3,1,14.07
06/05/2022,3,2,0.21
06/05/2022,3,3,-0.83
06/05/2022,3,4,-1.75
06/05/2022,4,1,-1.50
06/05/2022,4,2,-1.03
06/05/2022,4,3,-1.27
06/05/2022,4,4,-1.48
06/05/2022,5,1,-0.46
06/05/2022,5,2,-0.87
06/05/2022,5,3,-1.87
06/05/2022,5,4,-2.68
06/05/2022,6,1,-3.54
06/05/2022,6,2,-4.01
06/05/2022,6,3,-4.01
06/05/2022,6,4,-4
06/05/2022,7,1,-4
06/05/2022,7,2,-4.79
06/05/2022,7,3,-8.60
06/05/2022,7,4,-5.02
06/05/2022,8,1,-4.58
06/05/2022,8,2,-2.70
06/05/2022,8,3,-0.68
06/05/2022,8,4,-0.16
06/05/2022,9,1,-0.01
06/05/2022,9,2,0.02
06/05/2022,9,3,0.02
06/05/2022,9,4,0.04
06/05/2022,10,1,9.46
06/05/2022,10,2,14.74
06/05/2022,10,3,14.83
06/05/2022,10,4,23.45
06/05/2022,11,1,33.96
06/05/2022,11,2,35.39
06/05/2022,11,3,39.32
06/05/2022,11,4,29.66
06/05/2022,12,1,41.16
06/05/2022,12,2,47.19
06/05/2022,12,3,51.10
06/05/2022,12,4,53.74
06/05/2022,13,1,50.59
06/05/2022,13,2,51.84
06/05/2022,13,3,52.41
06/05/2022,13,4,55.70
06/05/2022,14,1,55.83
06/05/2022,14,2,57.84
06/05/2022,14,3,59.13
06/05/2022,14,4,61.85
06/05/2022,15,1,62.78
06/05/2022,15,2,62.05
06/05/2022,15,3,63.85
06/05/2022,15,4,64.52
06/05/2022,16,1,64.12
06/05/2022,16,2,65.15
06/05/2022,16,3,64.94
06/05/2022,16,4,65.22
06/05/2022,17,1,64.74
06/05/2022,17,2,65.34
06/05/2022,17,3,64.54
06/05/2022,17,4,65.89
06/05/2022,18,1,63.65
06/05/2022,18,2,62.25
06/05/2022,18,3,65.43
06/05/2022,18,4,65.98
06/05/2022,19,1,66.41
06/05/2022,19,2,65.38
06/05/2022,19,3,65.60
06/05/2022,19,4,80.82
06/05/2022,20,1,69.89
06/05/2022,20,2,71.48
06/05/2022,20,3,75.36
06/05/2022,20,4,77.75
06/05/2022,21,1,77.47
06/05/2022,21,2,78.21
06/05/2022,21,3,78.32
06/05/2022,21,4,79.32
06/05/2022,22,1,80.78
06/05/2022,22,2,79.82
06/05/2022,22,3,75.01
06/05/2022,22,4,72.85
06/05/2022,23,1,73.15
06/05/2022,23,2,83.55
06/05/2022,23,3,78.83
06/05/2022,23,4,63.80
06/05/2022,24,1,65.65
06/05/2022,24,2,67.34
06/05/2022,24,3,59.84
06/05/2022,24,4,53.86
06/06/2022,1,1,50.30
06/06/2022,1,2,45.85
06/06/2022,1,3,42.95
06/06/2022,1,4,38.27
06/06/2022,2,1,24.81
06/06/2022,2,2,19.67
06/06/2022,2,3,19.82
06/06/2022,2,4,12.55
06/06/2022,3,1,19.41
06/06/2022,3,2,19.47
06/06/2022,3,3,12.98
06/06/2022,3,4,15.61
06/06/2022,4,1,19.47
06/06/2022,4,2,15.74
06/06/2022,4,3,12.10
06/06/2022,4,4,18.85
06/06/2022,5,1,25.61
06/06/2022,5,2,19.51
06/06/2022,5,3,19.25
06/06/2022,5,4,19.30
06/06/2022,6,1,27.89
06/06/2022,6,2,26.97
06/06/2022,6,3,27.18
06/06/2022,6,4,21.48
06/06/2022,7,1,34.47
06/06/2022,7,2,22.31
06/06/2022,7,3,33.55
06/06/2022,7,4,37.15
06/06/2022,8,1,28.35
06/06/2022,8,2,22.88
06/06/2022,8,3,21.93
06/06/2022,8,4,22.49
06/06/2022,9,1,29.35
06/06/2022,9,2,26.63
06/06/2022,9,3,27.49
06/06/2022,9,4,26.93
06/06/2022,10,1,26.60
06/06/2022,10,2,29.96
06/06/2022,10,3,35.23
06/06/2022,10,4,37.13
06/06/2022,11,1,40.43
06/06/2022,11,2,42.94
06/06/2022,11,3,48.55
06/06/2022,11,4,49.17
06/06/2022,12,1,50.85
06/06/2022,12,2,54.12
06/06/2022,12,3,56.50
06/06/2022,12,4,60.62
06/06/2022,13,1,63.73
06/06/2022,13,2,76.01
06/06/2022,13,3,80.26
06/06/2022,13,4,80.55
06/06/2022,14,1,79.87
06/06/2022,14,2,81.74
06/06/2022,14,3,82.68
06/06/2022,14,4,82.34
06/06/2022,15,1,82.40
06/06/2022,15,2,84.58
06/06/2022,15,3,88.40
06/06/2022,15,4,83.90
06/06/2022,16,1,81.59
06/06/2022,16,2,82.81
06/06/2022,16,3,83.41
06/06/2022,16,4,87.33
06/06/2022,17,1,92.41
06/06/2022,17,2,91.17
06/06/2022,17,3,86.43
06/06/2022,17,4,87.78
06/06/2022,18,1,87.91
06/06/2022,18,2,87.72
06/06/2022,18,3,91.28
06/06/2022,18,4,91.23
06/06/2022,19,1,90.15
06/06/2022,19,2,92.89
06/06/2022,19,3,96.25
06/06/2022,19,4,114.89
06/06/2022,20,1,101.43
06/06/2022,20,2,111.82
06/06/2022,20,3,105.33
06/06/2022,20,4,142.40
06/06/2022,21,1,116.63
06/06/2022,21,2,111.96
06/06/2022,21,3,94.42
06/06/2022,21,4,89.48
06/06/2022,22,1,87.55
06/06/2022,22,2,84.53
06/06/2022,22,3,79.63
06/06/2022,22,4,74.94
06/06/2022,23,1,75.72
06/06/2022,23,2,77.91
06/06/2022,23,3,74.70
06/06/2022,23,4,73.43
06/06/2022,24,1,74.48
06/06/2022,24,2,73.35
06/06/2022,24,3,69.04
06/06/2022,24,4,59.24
06/07/2022,1,1,59.62
06/07/2022,1,2,60.38
06/07/2022,1,3,65.52
06/07/2022,1,4,58.79
06/07/2022,2,1,56.57
06/07/2022,2,2,57.99
06/07/2022,2,3,58.59
06/07/2022,2,4,55.07
06/07/2022,3,1,55.34
06/07/2022,3,2,56.17
06/07/2022,3,3,53.68
06/07/2022,3,4,51.86
06/07/2022,4,1,52.90
06/07/2022,4,2,50.51
06/07/2022,4,3,49.68
06/07/2022,4,4,49.84
06/07/2022,5,1,49.68
06/07/2022,5,2,49.63
06/07/2022,5,3,50.39
06/07/2022,5,4,50.27
06/07/2022,6,1,50.80
06/07/2022,6,2,53.16
06/07/2022,6,3,55.82
06/07/2022,6,4,58.58
06/07/2022,7,1,61.40
06/07/2022,7,2,59.91
06/07/2022,7,3,57.83
06/07/2022,7,4,52.37
06/07/2022,8,1,54.91
06/07/2022,8,2,55.31
06/07/2022,8,3,52.26
06/07/2022,8,4,51.51
06/07/2022,9,1,51.90
06/07/2022,9,2,49
06/07/2022,9,3,35.54
06/07/2022,9,4,32.13
06/07/2022,10,1,42.95
06/07/2022,10,2,47.16
06/07/2022,10,3,52.53
06/07/2022,10,4,49.34
06/07/2022,11,1,54.72
06/07/2022,11,2,53.78
06/07/2022,11,3,56.60
06/07/2022,11,4,59.95
06/07/2022,12,1,62.63
06/07/2022,12,2,62.67
06/07/2022,12,3,67.28
06/07/2022,12,4,71.69
06/07/2022,13,1,71.74
06/07/2022,13,2,80.01
06/07/2022,13,3,103.91
06/07/2022,13,4,94.37
06/07/2022,14,1,85.64
06/07/2022,14,2,88.81
06/07/2022,14,3,87.94
06/07/2022,14,4,92.52
06/07/2022,15,1,93
06/07/2022,15,2,95.61
06/07/2022,15,3,125.32
06/07/2022,15,4,112.15
06/07/2022,16,1,125
06/07/2022,16,2,111.13
06/07/2022,16,3,99.16
06/07/2022,16,4,192.83
06/07/2022,17,1,175.10
06/07/2022,17,2,152.40
06/07/2022,17,3,110.39
06/07/2022,17,4,93.89
06/07/2022,18,1,94.81
06/07/2022,18,2,102.70
06/07/2022,18,3,93.53
06/07/2022,18,4,104.73
06/07/2022,19,1,88.93
06/07/2022,19,2,90.99
06/07/2022,19,3,87.58
06/07/2022,19,4,88.20
06/07/2022,20,1,88.21
06/07/2022,20,2,84.87
06/07/2022,20,3,83.94
06/07/2022,20,4,87.60
06/07/2022,21,1,88.87
06/07/2022,21,2,101.28
06/07/2022,21,3,134.56
06/07/2022,21,4,125.97
06/07/2022,22,1,122.02
06/07/2022,22,2,105.25
06/07/2022,22,3,95.09
06/07/2022,22,4,86.66
06/07/2022,23,1,103.51
06/07/2022,23,2,139.65
06/07/2022,23,3,96.06
06/07/2022,23,4,84.56
06/07/2022,24,1,81.08
06/07/2022,24,2,83.59
06/07/2022,24,3,81.38
06/07/2022,24,4,79.63
06/08/2022,1,1,84.04
06/08/2022,1,2,86.70
06/08/2022,1,3,83.71
06/08/2022,1,4,82.55
06/08/2022,2,1,80.11
06/08/2022,2,2,76
06/08/2022,2,3,64.01
06/08/2022,2,4,66.07
06/08/2022,3,1,63.96
06/08/2022,3,2,62.53
06/08/2022,3,3,61.20
06/08/2022,3,4,61.27
06/08/2022,4,1,63.83
06/08/2022,4,2,61.95
06/08/2022,4,3,61.17
06/08/2022,4,4,60.12
06/08/2022,5,1,60.34
06/08/2022,5,2,60.92
06/08/2022,5,3,59.57
06/08/2022,5,4,58.31
06/08/2022,6,1,58.99
06/08/2022,6,2,62.20
06/08/2022,6,3,61.15
06/08/2022,6,4,59.70
06/08/2022,7,1,57.73
06/08/2022,7,2,58.07
06/08/2022,7,3,56.22
06/08/2022,7,4,55.16
06/08/2022,8,1,55.10
06/08/2022,8,2,50.98
06/08/2022,8,3,47.77
06/08/2022,8,4,47.06
06/08/2022,9,1,35.50
06/08/2022,9,2,30.04
06/08/2022,9,3,30.51
06/08/2022,9,4,33.01
06/08/2022,10,1,27.42
06/08/2022,10,2,30.29
06/08/2022,10,3,29.76
06/08/2022,10,4,23.90
06/08/2022,11,1,33.93
06/08/2022,11,2,28.81
06/08/2022,11,3,24.39
06/08/2022,11,4,28.87
06/08/2022,12,1,33.50
06/08/2022,12,2,40.26
06/08/2022,12,3,36.14
06/08/2022,12,4,33.27
06/08/2022,13,1,31.78
06/08/2022,13,2,40.44
06/08/2022,13,3,43.79
06/08/2022,13,4,44.83
06/08/2022,14,1,48.08
06/08/2022,14,2,50.50
06/08/2022,14,3,48.66
06/08/2022,14,4,66.43
06/08/2022,15,1,72.44
06/08/2022,15,2,54.98
06/08/2022,15,3,53.16
06/08/2022,15,4,54.54
06/08/2022,16,1,56.42
06/08/2022,16,2,60.83
06/08/2022,16,3,68.19
06/08/2022,16,4,73.59
06/08/2022,17,1,79.16
06/08/2022,17,2,84.74
06/08/2022,17,3,85.67
06/08/2022,17,4,84.96
06/08/2022,18,1,83.61
06/08/2022,18,2,83.33
06/08/2022,18,3,83.16
06/08/2022,18,4,83.43
06/08/2022,19,1,83.81
06/08/2022,19,2,84.48
06/08/2022,19,3,85.20
06/08/2022,19,4,85.52
06/08/2022,20,1,84.88
06/08/2022,20,2,85.45
06/08/2022,20,3,85.73
06/08/2022,20,4,85.77
06/08/2022,21,1,85.33
06/08/2022,21,2,85.68
06/08/2022,21,3,106.11
06/08/2022,21,4,117.07
06/08/2022,22,1,87.48
06/08/2022,22,2,85.04
06/08/2022,22,3,82.87
06/08/2022,22,4,82.74
06/08/2022,23,1,83.38
06/08/2022,23,2,85.05
06/08/2022,23,3,82.26
06/08/2022,23,4,80.72
06/08/2022,24,1,75.75
06/08/2022,24,2,77.55
06/08/2022,24,3,75.33
06/08/2022,24,4,70.69
06/09/2022,1,1,72.90
06/09/2022,1,2,81.32
06/09/2022,1,3,75.65
06/09/2022,1,4,70.23
06/09/2022,2,1,70.99
06/09/2022,2,2,70.41
06/09/2022,2,3,69.62
06/09/2022,2,4,67.71
06/09/2022,3,1,63.64
06/09/2022,3,2,61.86
06/09/2022,3,3,60.98
06/09/2022,3,4,59.96
06/09/2022,4,1,61.25
06/09/2022,4,2,60.43
06/09/2022,4,3,59.95
06/09/2022,4,4,60.80
06/09/2022,5,1,61.55
06/09/2022,5,2,61.94
06/09/2022,5,3,62.15
06/09/2022,5,4,62.21
06/09/2022,6,1,62.35
06/09/2022,6,2,62.72
06/09/2022,6,3,64.20
06/09/2022,6,4,62.48
06/09/2022,7,1,65.31
06/09/2022,7,2,67.42
06/09/2022,7,3,68.02
06/09/2022,7,4,65.77
06/09/2022,8,1,69.57
06/09/2022,8,2,82.59
06/09/2022,8,3,79.49
06/09/2022,8,4,70.35
06/09/2022,9,1,68.61
06/09/2022,9,2,63.96
06/09/2022,9,3,63.75
06/09/2022,9,4,62.46
06/09/2022,10,1,61.55
06/09/2022,10,2,62.30
06/09/2022,10,3,63.16
06/09/2022,10,4,62.92
06/09/2022,11,1,62.48
06/09/2022,11,2,61.21
06/09/2022,11,3,61.67
06/09/2022,11,4,62.72
06/09/2022,12,1,65.31
06/09/2022,12,2,68.02
06/09/2022,12,3,71.25
06/09/2022,12,4,71.95
06/09/2022,13,1,74.10
06/09/2022,13,2,76.43
06/09/2022,13,3,78.36
06/09/2022,13,4,85.09
06/09/2022,14,1,84.89
06/09/2022,14,2,101.15
06/09/2022,14,3,86.52
06/09/2022,14,4,85.78
06/09/2022,15,1,86.28
06/09/2022,15,2,87.48
06/09/2022,15,3,89.10
06/09/2022,15,4,90.53
06/09/2022,16,1,91.42
06/09/2022,16,2,90.26
06/09/2022,16,3,89.01
06/09/2022,16,4,91.41
06/09/2022,17,1,90.56
06/09/2022,17,2,122.87
06/09/2022,17,3,86.81
06/09/2022,17,4,86.34
06/09/2022,18,1,86.73
06/09/2022,18,2,87.23
06/09/2022,18,3,86.49
06/09/2022,18,4,85.71
06/09/2022,19,1,85.62
06/09/2022,19,2,86.61
06/09/2022,19,3,85.82
06/09/2022,19,4,86.08
06/09/2022,20,1,84.60
06/09/2022,20,2,84.99
06/09/2022,20,3,86.70
06/09/2022,20,4,87.71
06/09/2022,21,1,88.29
06/09/2022,21,2,87.69
06/09/2022,21,3,88.03
06/09/2022,21,4,88.05
06/09/2022,22,1,87.23
06/09/2022,22,2,85.07
06/09/2022,22,3,82.98
06/09/2022,22,4,81.67
06/09/2022,23,1,81.77
06/09/2022,23,2,77.15
06/09/2022,23,3,74.85
06/09/2022,23,4,71.11
06/09/2022,24,1,70.16
06/09/2022,24,2,68.98
06/09/2022,24,3,69.07
06/09/2022,24,4,64.94
06/10/2022,1,1,64.20
06/10/2022,1,2,69.46
06/10/2022,1,3,68.72
06/10/2022,1,4,64.01
06/10/2022,2,1,56.32
06/10/2022,2,2,54.49
06/10/2022,2,3,55.18
06/10/2022,2,4,55.12
06/10/2022,3,1,53.23
06/10/2022,3,2,49.57
06/10/2022,3,3,50.46
06/10/2022,3,4,51.82
06/10/2022,4,1,54.10
06/10/2022,4,2,56.98
06/10/2022,4,3,59.84
06/10/2022,4,4,62.25
06/10/2022,5,1,65.98
06/10/2022,5,2,69.91
06/10/2022,5,3,70.50
06/10/2022,5,4,63.30
06/10/2022,6,1,57.62
06/10/2022,6,2,60.73
06/10/2022,6,3,68.16
06/10/2022,6,4,68.09
06/10/2022,7,1,72.51
06/10/2022,7,2,68.67
06/10/2022,7,3,61.34
06/10/2022,7,4,57.28
06/10/2022,8,1,56.67
06/10/2022,8,2,57.48
06/10/2022,8,3,57.18
06/10/2022,8,4,57.19
06/10/2022,9,1,57.49
06/10/2022,9,2,54.11
06/10/2022,9,3,49.38
06/10/2022,9,4,46.86
06/10/2022,10,1,46.49
06/10/2022,10,2,45.29
06/10/2022,10,3,45.16
06/10/2022,10,4,44.99
06/10/2022,11,1,48.22
06/10/2022,11,2,45.85
06/10/2022,11,3,46.57
06/10/2022,11,4,48.27
06/10/2022,12,1,50.27
06/10/2022,12,2,52.28
06/10/2022,12,3,55.68
06/10/2022,12,4,67.26
06/10/2022,13,1,62.61
06/10/2022,13,2,61.29
06/10/2022,13,3,67.11
06/10/2022,13,4,75.04
06/10/2022,14,1,76.15
06/10/2022,14,2,77.11
06/10/2022,14,3,80.31
06/10/2022,14,4,81.70
06/10/2022,15,1,79.63
06/10/2022,15,2,82.73
06/10/2022,15,3,81.40
06/10/2022,15,4,83.06
06/10/2022,16,1,81.10
06/10/2022,16,2,81.24
06/10/2022,16,3,81.76
06/10/2022,16,4,83.99
06/10/2022,17,1,83.28
